id,school_name,course_number,section_number,theoretical,course_name,hours,instructor_name,time_classroom,prerequisite_course,source_file
1,School of Computing and Informatics,40201100,1,0,Programming,3,Malak Ziyad Mahmoud Fraihat,"08,30 - 10,00 ح ر / المبنى الجنوبي الجديد S-214 ** Blended 1 hours",40303130,Page1.html
2,School of Computing and Informatics,40201100,2,0,Programming,3,Malak Ziyad Mahmoud Fraihat,"10,00 - 11,30 ح ر / المبنى الجنوبي الجديد S-214 ** Blended 1 hours",40303130,Page1.html
3,School of Computing and Informatics,40201100,3,0,Programming,3,Mohammad Noor-Aldeen Badri Alkhateeb,"13,00 - 14,30 ح ر / المبنى الجنوبي الجديد S-212 ** Blended 1 hours",40303130,Page1.html
4,School of Computing and Informatics,40201100,4,0,Programming,3,Suhaib Gazi Khattar Al-Obeidallah,"14,30 - 16,00 ح ر / المبنى الجنوبي الجديد S-212 ** Blended 1 hours",40303130,Page1.html
5,School of Computing and Informatics,40201100,5,0,Programming,3,Hana' Zaid Abdul Karim Al Rashid,"08,30 - 10,00 ن خ / المبنى الجنوبي الجديد S-214 ** Blended 1 hours",40303130,Page1.html
6,School of Computing and Informatics,40201100,6,0,Programming,3,Lina Hammad,"10,00 - 11,30 ن خ / المبنى الجنوبي الجديد S-214 ** Blended 1 hours",40303130,Page1.html
7,School of Computing and Informatics,40201100,7,0,Programming,3,Lina Hammad,"11,30 - 13,00 ن خ / المبنى الجنوبي الجديد S-214 ** Blended 1 hours",40303130,Page1.html
8,School of Computing and Informatics,40201100,8,0,Programming,3,Huthaifa Abdelhameed Ibrahim  Al Omari,"13,00 - 14,30 ن خ / المبنى الجنوبي الجديد S-214 ** Blended 1 hours",40303130,Page1.html
9,School of Computing and Informatics,40201100,9,0,Programming,3,Hikmat Yahia Hikmat Ahmad Shehadeh,"08,30 - 10,00 س ث / المبنى الجنوبي الجديد S-214 ** Blended 1 hours",40303130,Page1.html
10,School of Computing and Informatics,40201100,10,0,Programming,3,Mo'tasem Khairi Mohammad Sammarah,"10,00 - 11,30 س ث / المبنى الجنوبي الجديد S-214 ** Blended 1 hours",40303130,Page1.html
11,School of Computing and Informatics,40201100,11,0,Programming,3,Mo'tasem Khairi Mohammad Sammarah,"11,30 - 13,00 س ث / المبنى الجنوبي الجديد S-214 ** Blended 1 hours",40303130,Page1.html
12,School of Computing and Informatics,40201100,12,0,Programming,3,Hikmat Yahia Hikmat Ahmad Shehadeh,"13,00 - 14,30 س ث / المبنى الجنوبي الجديد S-214 ** Blended 1 hours",40303130,Page1.html
13,School of Computing and Informatics,40201100,13,0,Programming,3,Malak Ziyad Mahmoud Fraihat,"10,00 - 11,30 س ث / المبنى الجنوبي الجديد S-212 ** Blended 1 hours",40303130,Page1.html
